Country,Scenario,Variable,2030,2050
Angola,SSP2_2p0,Land-1|EV10,474154.0,404835.0
Burundi,SSP2_2p0,Land-1|EV10,0.0,0.0
Benin,SSP2_2p0,Land-1|EV10,0.0,0.0
Botswana,SSP2_2p0,Land-1|EV10,19085.0,16960.0
Central African Republic,SSP2_2p0,Land-1|EV10,192419.0,189347.0
Cameroon,SSP2_2p0,Land-1|EV10,267350.0,191849.0
Congo,SSP2_2p0,Land-1|EV10,531562.0,387336.0
Comoros,SSP2_2p0,Land-1|EV10,0.0,0.0
Cape Verde,SSP2_2p0,Land-1|EV10,0.0,0.0
Djibouti,SSP2_2p0,Land-1|EV10,0.0,0.0
Algeria,SSP2_2p0,Land-1|EV10,32556.0,12590.0
Egypt,SSP2_2p0,Land-1|EV10,0.0,0.0
Eritrea,SSP2_2p0,Land-1|EV10,264799.0,211011.0
Western Sahara,SSP2_2p0,Land-1|EV10,0.0,0.0
Ethiopia,SSP2_2p0,Land-1|EV10,8643905.0,7473893.0
Gabon,SSP2_2p0,Land-1|EV10,0.0,0.0
Ghana,SSP2_2p0,Land-1|EV10,531363.0,490697.0
Guinea,SSP2_2p0,Land-1|EV10,231566.0,100554.0
Gambia,SSP2_2p0,Land-1|EV10,1422887.0,992042.0
Equatorial Guinea,SSP2_2p0,Land-1|EV10,0.0,0.0
Kenya,SSP2_2p0,Land-1|EV10,381971.0,364816.0
Liberia,SSP2_2p0,Land-1|EV10,0.0,0.0
Libya,SSP2_2p0,Land-1|EV10,0.0,0.0
Lesotho,SSP2_2p0,Land-1|EV10,0.0,0.0
Morocco,SSP2_2p0,Land-1|EV10,406611.0,106370.0
Madagascar,SSP2_2p0,Land-1|EV10,0.0,0.0
Mali,SSP2_2p0,Land-1|EV10,755422.0,867273.0
Mozambique,SSP2_2p0,Land-1|EV10,0.0,0.0
Mauritania,SSP2_2p0,Land-1|EV10,0.0,0.0
Mauritius,SSP2_2p0,Land-1|EV10,0.0,0.0
Malawi,SSP2_2p0,Land-1|EV10,0.0,0.0
Namibia,SSP2_2p0,Land-1|EV10,0.0,0.0
Niger,SSP2_2p0,Land-1|EV10,0.0,0.0
Nigeria,SSP2_2p0,Land-1|EV10,0.0,0.0
Rwanda,SSP2_2p0,Land-1|EV10,0.0,0.0
Sudan,SSP2_2p0,Land-1|EV10,44714404.0,31099069.0
Senegal,SSP2_2p0,Land-1|EV10,11088376.0,6931520.0
Sierra Leone,SSP2_2p0,Land-1|EV10,0.0,0.0
Somalia,SSP2_2p0,Land-1|EV10,0.0,0.0
Sao Tome and Principe,SSP2_2p0,Land-1|EV10,0.0,0.0
Swaziland,SSP2_2p0,Land-1|EV10,0.0,0.0
Seychelles,SSP2_2p0,Land-1|EV10,0.0,0.0
Chad,SSP2_2p0,Land-1|EV10,0.0,0.0
Togo,SSP2_2p0,Land-1|EV10,0.0,0.0
Tunisia,SSP2_2p0,Land-1|EV10,0.0,0.0
Uganda,SSP2_2p0,Land-1|EV10,0.0,0.0
South Africa,SSP2_2p0,Land-1|EV10,1189854.0,852940.0
Zambia,SSP2_2p0,Land-1|EV10,0.0,0.0
Zimbabwe,SSP2_2p0,Land-1|EV10,1528003.0,1177565.0
