Country,Scenario,Variable,2030,2050
Angola,SSP1_1p5,Water-1|EV10,1022.0,325.0
Burundi,SSP1_1p5,Water-1|EV10,0.0,0.0
Benin,SSP1_1p5,Water-1|EV10,0.0,0.0
Botswana,SSP1_1p5,Water-1|EV10,155899.0,99660.0
Central African Republic,SSP1_1p5,Water-1|EV10,0.0,0.0
Cameroon,SSP1_1p5,Water-1|EV10,0.0,0.0
Congo,SSP1_1p5,Water-1|EV10,0.0,0.0
Comoros,SSP1_1p5,Water-1|EV10,0.0,0.0
Cape Verde,SSP1_1p5,Water-1|EV10,139774.0,44119.0
Djibouti,SSP1_1p5,Water-1|EV10,221654.0,141310.0
Algeria,SSP1_1p5,Water-1|EV10,10260751.0,3795972.0
Egypt,SSP1_1p5,Water-1|EV10,6609281.0,108280.0
Eritrea,SSP1_1p5,Water-1|EV10,1801285.0,1685340.0
Western Sahara,SSP1_1p5,Water-1|EV10,40090.0,8916.0
Ethiopia,SSP1_1p5,Water-1|EV10,4251259.0,1083126.0
Gabon,SSP1_1p5,Water-1|EV10,0.0,0.0
Ghana,SSP1_1p5,Water-1|EV10,2879199.0,318923.0
Guinea,SSP1_1p5,Water-1|EV10,0.0,0.0
Gambia,SSP1_1p5,Water-1|EV10,0.0,0.0
Equatorial Guinea,SSP1_1p5,Water-1|EV10,0.0,0.0
Kenya,SSP1_1p5,Water-1|EV10,3631432.0,1223602.0
Liberia,SSP1_1p5,Water-1|EV10,0.0,0.0
Libya,SSP1_1p5,Water-1|EV10,167319.0,24127.0
Lesotho,SSP1_1p5,Water-1|EV10,0.0,0.0
Morocco,SSP1_1p5,Water-1|EV10,6136261.0,596843.0
Madagascar,SSP1_1p5,Water-1|EV10,708018.0,438641.0
Mali,SSP1_1p5,Water-1|EV10,2745841.0,959847.0
Mozambique,SSP1_1p5,Water-1|EV10,0.0,0.0
Mauritania,SSP1_1p5,Water-1|EV10,1247708.0,453327.0
Mauritius,SSP1_1p5,Water-1|EV10,0.0,0.0
Malawi,SSP1_1p5,Water-1|EV10,0.0,0.0
Namibia,SSP1_1p5,Water-1|EV10,43192.0,28848.0
Niger,SSP1_1p5,Water-1|EV10,5909752.0,3398420.0
Nigeria,SSP1_1p5,Water-1|EV10,7234202.0,1621259.0
Rwanda,SSP1_1p5,Water-1|EV10,0.0,0.0
Sudan,SSP1_1p5,Water-1|EV10,9765324.0,2296035.0
Senegal,SSP1_1p5,Water-1|EV10,5967341.0,1012600.0
Sierra Leone,SSP1_1p5,Water-1|EV10,0.0,0.0
Somalia,SSP1_1p5,Water-1|EV10,1080053.0,1136269.0
Sao Tome and Principe,SSP1_1p5,Water-1|EV10,0.0,0.0
Swaziland,SSP1_1p5,Water-1|EV10,0.0,0.0
Seychelles,SSP1_1p5,Water-1|EV10,0.0,0.0
Chad,SSP1_1p5,Water-1|EV10,328428.0,222975.0
Togo,SSP1_1p5,Water-1|EV10,0.0,0.0
Tunisia,SSP1_1p5,Water-1|EV10,687208.0,50614.0
Uganda,SSP1_1p5,Water-1|EV10,2482386.0,621016.0
South Africa,SSP1_1p5,Water-1|EV10,11276349.0,6923794.0
Zambia,SSP1_1p5,Water-1|EV10,1621212.0,1013517.0
Zimbabwe,SSP1_1p5,Water-1|EV10,3161642.0,1809571.0
