Country,Scenario,Variable,2030,2050
Angola,SSP1_1p5,Water-3|EV10,379831.0,269197.0
Burundi,SSP1_1p5,Water-3|EV10,0.0,0.0
Benin,SSP1_1p5,Water-3|EV10,0.0,0.0
Botswana,SSP1_1p5,Water-3|EV10,35386.0,20393.0
Central African Republic,SSP1_1p5,Water-3|EV10,0.0,0.0
Cameroon,SSP1_1p5,Water-3|EV10,317535.0,150441.0
Congo,SSP1_1p5,Water-3|EV10,0.0,0.0
Comoros,SSP1_1p5,Water-3|EV10,0.0,0.0
Cape Verde,SSP1_1p5,Water-3|EV10,0.0,0.0
Djibouti,SSP1_1p5,Water-3|EV10,0.0,0.0
Algeria,SSP1_1p5,Water-3|EV10,3908267.0,1312153.0
Egypt,SSP1_1p5,Water-3|EV10,586394.0,9883.0
Eritrea,SSP1_1p5,Water-3|EV10,0.0,0.0
Western Sahara,SSP1_1p5,Water-3|EV10,0.0,0.0
Ethiopia,SSP1_1p5,Water-3|EV10,202509.0,103653.0
Gabon,SSP1_1p5,Water-3|EV10,34.0,20.0
Ghana,SSP1_1p5,Water-3|EV10,235717.0,94564.0
Guinea,SSP1_1p5,Water-3|EV10,0.0,0.0
Gambia,SSP1_1p5,Water-3|EV10,0.0,0.0
Equatorial Guinea,SSP1_1p5,Water-3|EV10,0.0,0.0
Kenya,SSP1_1p5,Water-3|EV10,534158.0,254289.0
Liberia,SSP1_1p5,Water-3|EV10,0.0,0.0
Libya,SSP1_1p5,Water-3|EV10,3.0,0.0
Lesotho,SSP1_1p5,Water-3|EV10,0.0,0.0
Morocco,SSP1_1p5,Water-3|EV10,1188007.0,108295.0
Madagascar,SSP1_1p5,Water-3|EV10,3112720.0,1004404.0
Mali,SSP1_1p5,Water-3|EV10,1130051.0,477304.0
Mozambique,SSP1_1p5,Water-3|EV10,0.0,0.0
Mauritania,SSP1_1p5,Water-3|EV10,218950.0,95963.0
Mauritius,SSP1_1p5,Water-3|EV10,0.0,0.0
Malawi,SSP1_1p5,Water-3|EV10,0.0,0.0
Namibia,SSP1_1p5,Water-3|EV10,37439.0,19739.0
Niger,SSP1_1p5,Water-3|EV10,885240.0,567026.0
Nigeria,SSP1_1p5,Water-3|EV10,6053974.0,2248847.0
Rwanda,SSP1_1p5,Water-3|EV10,0.0,0.0
Sudan,SSP1_1p5,Water-3|EV10,0.0,0.0
Senegal,SSP1_1p5,Water-3|EV10,147592.0,53493.0
Sierra Leone,SSP1_1p5,Water-3|EV10,0.0,0.0
Somalia,SSP1_1p5,Water-3|EV10,210966.0,210689.0
Sao Tome and Principe,SSP1_1p5,Water-3|EV10,0.0,0.0
Swaziland,SSP1_1p5,Water-3|EV10,0.0,0.0
Seychelles,SSP1_1p5,Water-3|EV10,0.0,0.0
Chad,SSP1_1p5,Water-3|EV10,182969.0,135151.0
Togo,SSP1_1p5,Water-3|EV10,0.0,0.0
Tunisia,SSP1_1p5,Water-3|EV10,106912.0,24061.0
Uganda,SSP1_1p5,Water-3|EV10,0.0,0.0
South Africa,SSP1_1p5,Water-3|EV10,53656.0,28111.0
Zambia,SSP1_1p5,Water-3|EV10,761347.0,543451.0
Zimbabwe,SSP1_1p5,Water-3|EV10,1179177.0,631714.0
