Country,Scenario,Variable,2030,2050
Angola,SSP2_2p0,Water-1|EV10,1552568.0,2059959.0
Burundi,SSP2_2p0,Water-1|EV10,0.0,0.0
Benin,SSP2_2p0,Water-1|EV10,0.0,0.0
Botswana,SSP2_2p0,Water-1|EV10,229470.0,200925.0
Central African Republic,SSP2_2p0,Water-1|EV10,0.0,0.0
Cameroon,SSP2_2p0,Water-1|EV10,483130.0,225708.0
Congo,SSP2_2p0,Water-1|EV10,0.0,0.0
Comoros,SSP2_2p0,Water-1|EV10,0.0,0.0
Cape Verde,SSP2_2p0,Water-1|EV10,188804.0,113607.0
Djibouti,SSP2_2p0,Water-1|EV10,263726.0,198319.0
Algeria,SSP2_2p0,Water-1|EV10,13504430.0,9248815.0
Egypt,SSP2_2p0,Water-1|EV10,9965979.0,853951.0
Eritrea,SSP2_2p0,Water-1|EV10,3805979.0,4769354.0
Western Sahara,SSP2_2p0,Water-1|EV10,44356.0,18281.0
Ethiopia,SSP2_2p0,Water-1|EV10,14232252.0,9896155.0
Gabon,SSP2_2p0,Water-1|EV10,0.0,0.0
Ghana,SSP2_2p0,Water-1|EV10,5932822.0,2827925.0
Guinea,SSP2_2p0,Water-1|EV10,0.0,0.0
Gambia,SSP2_2p0,Water-1|EV10,863231.0,516751.0
Equatorial Guinea,SSP2_2p0,Water-1|EV10,0.0,0.0
Kenya,SSP2_2p0,Water-1|EV10,5699414.0,4329036.0
Liberia,SSP2_2p0,Water-1|EV10,0.0,0.0
Libya,SSP2_2p0,Water-1|EV10,240254.0,74732.0
Lesotho,SSP2_2p0,Water-1|EV10,0.0,0.0
Morocco,SSP2_2p0,Water-1|EV10,9535838.0,2502936.0
Madagascar,SSP2_2p0,Water-1|EV10,4803443.0,4080926.0
Mali,SSP2_2p0,Water-1|EV10,4863031.0,4669644.0
Mozambique,SSP2_2p0,Water-1|EV10,415787.0,351314.0
Mauritania,SSP2_2p0,Water-1|EV10,1176076.0,796995.0
Mauritius,SSP2_2p0,Water-1|EV10,11146.0,1240.0
Malawi,SSP2_2p0,Water-1|EV10,2549583.0,2536098.0
Namibia,SSP2_2p0,Water-1|EV10,224438.0,188365.0
Niger,SSP2_2p0,Water-1|EV10,11216948.0,16214616.0
Nigeria,SSP2_2p0,Water-1|EV10,49709242.0,33969869.0
Rwanda,SSP2_2p0,Water-1|EV10,1834067.0,1777709.0
Sudan,SSP2_2p0,Water-1|EV10,13149206.0,9176716.0
Senegal,SSP2_2p0,Water-1|EV10,7315518.0,4118739.0
Sierra Leone,SSP2_2p0,Water-1|EV10,0.0,0.0
Somalia,SSP2_2p0,Water-1|EV10,1604087.0,1822567.0
Sao Tome and Principe,SSP2_2p0,Water-1|EV10,0.0,0.0
Swaziland,SSP2_2p0,Water-1|EV10,0.0,0.0
Seychelles,SSP2_2p0,Water-1|EV10,0.0,0.0
Chad,SSP2_2p0,Water-1|EV10,612495.0,670890.0
Togo,SSP2_2p0,Water-1|EV10,0.0,0.0
Tunisia,SSP2_2p0,Water-1|EV10,962049.0,174962.0
Uganda,SSP2_2p0,Water-1|EV10,4599295.0,3792284.0
South Africa,SSP2_2p0,Water-1|EV10,12734509.0,10237336.0
Zambia,SSP2_2p0,Water-1|EV10,1735176.0,1516078.0
Zimbabwe,SSP2_2p0,Water-1|EV10,3953165.0,3188232.0
