Country,Scenario,Variable,2030,2050
Angola,SSP3_3p0,Energy-2|EV10,24309615.0,39489099.0
Burundi,SSP3_3p0,Energy-2|EV10,15684374.0,19981461.0
Benin,SSP3_3p0,Energy-2|EV10,12753008.0,15743390.0
Botswana,SSP3_3p0,Energy-2|EV10,558888.0,557836.0
Central African Republic,SSP3_3p0,Energy-2|EV10,5219257.0,6503999.0
Cameroon,SSP3_3p0,Energy-2|EV10,23959606.0,25252181.0
Congo,SSP3_3p0,Energy-2|EV10,2377338.0,2623869.0
Comoros,SSP3_3p0,Energy-2|EV10,1082219.0,1421503.0
Cape Verde,SSP3_3p0,Energy-2|EV10,219856.0,213305.0
Djibouti,SSP3_3p0,Energy-2|EV10,786609.0,767488.0
Algeria,SSP3_3p0,Energy-2|EV10,22058496.0,25885945.0
Egypt,SSP3_3p0,Energy-2|EV10,24579795.0,13366880.0
Eritrea,SSP3_3p0,Energy-2|EV10,6561319.0,8923808.0
Western Sahara,SSP3_3p0,Energy-2|EV10,153181.0,121154.0
Ethiopia,SSP3_3p0,Energy-2|EV10,47245456.0,60069466.0
Gabon,SSP3_3p0,Energy-2|EV10,895213.0,931531.0
Ghana,SSP3_3p0,Energy-2|EV10,27758425.0,31989378.0
Guinea,SSP3_3p0,Energy-2|EV10,10358036.0,8802594.0
Gambia,SSP3_3p0,Energy-2|EV10,1956163.0,2502289.0
Equatorial Guinea,SSP3_3p0,Energy-2|EV10,411378.0,490765.0
Kenya,SSP3_3p0,Energy-2|EV10,29446708.0,39295471.0
Liberia,SSP3_3p0,Energy-2|EV10,7750113.0,10567975.0
Libya,SSP3_3p0,Energy-2|EV10,387806.0,381222.0
Lesotho,SSP3_3p0,Energy-2|EV10,1082666.0,989709.0
Morocco,SSP3_3p0,Energy-2|EV10,11791894.0,8567791.0
Madagascar,SSP3_3p0,Energy-2|EV10,27246395.0,35702177.0
Mali,SSP3_3p0,Energy-2|EV10,24699539.0,34528753.0
Mozambique,SSP3_3p0,Energy-2|EV10,36929558.0,46343699.0
Mauritania,SSP3_3p0,Energy-2|EV10,3177600.0,3485024.0
Mauritius,SSP3_3p0,Energy-2|EV10,61895.0,34978.0
Malawi,SSP3_3p0,Energy-2|EV10,21965079.0,34628871.0
Namibia,SSP3_3p0,Energy-2|EV10,1044263.0,1139349.0
Niger,SSP3_3p0,Energy-2|EV10,27021564.0,51509433.0
Nigeria,SSP3_3p0,Energy-2|EV10,198929894.0,269926385.0
Rwanda,SSP3_3p0,Energy-2|EV10,3398301.0,4532969.0
Sudan,SSP3_3p0,Energy-2|EV10,55140524.0,69597019.0
Senegal,SSP3_3p0,Energy-2|EV10,16636096.0,20935561.0
Sierra Leone,SSP3_3p0,Energy-2|EV10,7864907.0,9038098.0
Somalia,SSP3_3p0,Energy-2|EV10,13848722.0,20329851.0
Sao Tome and Principe,SSP3_3p0,Energy-2|EV10,56228.0,24055.0
Swaziland,SSP3_3p0,Energy-2|EV10,1040344.0,981708.0
Seychelles,SSP3_3p0,Energy-2|EV10,0.0,0.0
Chad,SSP3_3p0,Energy-2|EV10,15972376.0,20832667.0
Togo,SSP3_3p0,Energy-2|EV10,5158854.0,6135121.0
Tunisia,SSP3_3p0,Energy-2|EV10,2298143.0,1321318.0
Uganda,SSP3_3p0,Energy-2|EV10,52278727.0,80010198.0
South Africa,SSP3_3p0,Energy-2|EV10,23817210.0,23064599.0
Zambia,SSP3_3p0,Energy-2|EV10,19527998.0,27934537.0
Zimbabwe,SSP3_3p0,Energy-2|EV10,14353469.0,15461481.0
