Country,Scenario,Variable,2030,2050
Angola,SSP2_2p0,Water-3|EV10,1663914.0,2175204.0
Burundi,SSP2_2p0,Water-3|EV10,0.0,0.0
Benin,SSP2_2p0,Water-3|EV10,0.0,0.0
Botswana,SSP2_2p0,Water-3|EV10,79861.0,59817.0
Central African Republic,SSP2_2p0,Water-3|EV10,0.0,0.0
Cameroon,SSP2_2p0,Water-3|EV10,0.0,0.0
Congo,SSP2_2p0,Water-3|EV10,0.0,0.0
Comoros,SSP2_2p0,Water-3|EV10,0.0,0.0
Cape Verde,SSP2_2p0,Water-3|EV10,0.0,0.0
Djibouti,SSP2_2p0,Water-3|EV10,0.0,0.0
Algeria,SSP2_2p0,Water-3|EV10,4671461.0,3159781.0
Egypt,SSP2_2p0,Water-3|EV10,891817.0,72260.0
Eritrea,SSP2_2p0,Water-3|EV10,0.0,0.0
Western Sahara,SSP2_2p0,Water-3|EV10,0.0,0.0
Ethiopia,SSP2_2p0,Water-3|EV10,221505.0,214726.0
Gabon,SSP2_2p0,Water-3|EV10,0.0,0.0
Ghana,SSP2_2p0,Water-3|EV10,277209.0,218025.0
Guinea,SSP2_2p0,Water-3|EV10,0.0,0.0
Gambia,SSP2_2p0,Water-3|EV10,0.0,0.0
Equatorial Guinea,SSP2_2p0,Water-3|EV10,0.0,0.0
Kenya,SSP2_2p0,Water-3|EV10,48192.0,47133.0
Liberia,SSP2_2p0,Water-3|EV10,0.0,0.0
Libya,SSP2_2p0,Water-3|EV10,4.0,2.0
Lesotho,SSP2_2p0,Water-3|EV10,0.0,0.0
Morocco,SSP2_2p0,Water-3|EV10,2518639.0,604483.0
Madagascar,SSP2_2p0,Water-3|EV10,3944009.0,3253777.0
Mali,SSP2_2p0,Water-3|EV10,982458.0,1021526.0
Mozambique,SSP2_2p0,Water-3|EV10,306045.0,257615.0
Mauritania,SSP2_2p0,Water-3|EV10,238956.0,188607.0
Mauritius,SSP2_2p0,Water-3|EV10,0.0,0.0
Malawi,SSP2_2p0,Water-3|EV10,1350126.0,1729525.0
Namibia,SSP2_2p0,Water-3|EV10,53757.0,41671.0
Niger,SSP2_2p0,Water-3|EV10,2001142.0,2925045.0
Nigeria,SSP2_2p0,Water-3|EV10,7762595.0,6500645.0
Rwanda,SSP2_2p0,Water-3|EV10,0.0,0.0
Sudan,SSP2_2p0,Water-3|EV10,254112.0,219711.0
Senegal,SSP2_2p0,Water-3|EV10,115663.0,101285.0
Sierra Leone,SSP2_2p0,Water-3|EV10,0.0,0.0
Somalia,SSP2_2p0,Water-3|EV10,374475.0,454227.0
Sao Tome and Principe,SSP2_2p0,Water-3|EV10,0.0,0.0
Swaziland,SSP2_2p0,Water-3|EV10,0.0,0.0
Seychelles,SSP2_2p0,Water-3|EV10,0.0,0.0
Chad,SSP2_2p0,Water-3|EV10,478063.0,511919.0
Togo,SSP2_2p0,Water-3|EV10,0.0,0.0
Tunisia,SSP2_2p0,Water-3|EV10,137394.0,67110.0
Uganda,SSP2_2p0,Water-3|EV10,0.0,0.0
South Africa,SSP2_2p0,Water-3|EV10,944399.0,810616.0
Zambia,SSP2_2p0,Water-3|EV10,862658.0,913144.0
Zimbabwe,SSP2_2p0,Water-3|EV10,2582804.0,1992113.0
