Country,Scenario,Variable,2030,2050
Angola,SSP2_2p0,Energy-2|EV10,22113797.0,27163204.0
Burundi,SSP2_2p0,Energy-2|EV10,15386768.0,15124375.0
Benin,SSP2_2p0,Energy-2|EV10,12104938.0,11220480.0
Botswana,SSP2_2p0,Energy-2|EV10,522207.0,431468.0
Central African Republic,SSP2_2p0,Energy-2|EV10,4919947.0,4736589.0
Cameroon,SSP2_2p0,Energy-2|EV10,21108305.0,13352407.0
Congo,SSP2_2p0,Energy-2|EV10,2152630.0,1510287.0
Comoros,SSP2_2p0,Energy-2|EV10,923224.0,829593.0
Cape Verde,SSP2_2p0,Energy-2|EV10,188804.0,113607.0
Djibouti,SSP2_2p0,Energy-2|EV10,731323.0,527212.0
Algeria,SSP2_2p0,Energy-2|EV10,16979257.0,11534578.0
Egypt,SSP2_2p0,Energy-2|EV10,17048082.0,1312658.0
Eritrea,SSP2_2p0,Energy-2|EV10,6355917.0,7820258.0
Western Sahara,SSP2_2p0,Energy-2|EV10,112103.0,45947.0
Ethiopia,SSP2_2p0,Energy-2|EV10,42946499.0,35813853.0
Gabon,SSP2_2p0,Energy-2|EV10,748196.0,448978.0
Ghana,SSP2_2p0,Energy-2|EV10,24032713.0,14621568.0
Guinea,SSP2_2p0,Energy-2|EV10,7567350.0,1832640.0
Gambia,SSP2_2p0,Energy-2|EV10,1513049.0,1053094.0
Equatorial Guinea,SSP2_2p0,Energy-2|EV10,362032.0,288373.0
Kenya,SSP2_2p0,Energy-2|EV10,25746151.0,22647489.0
Liberia,SSP2_2p0,Energy-2|EV10,7713579.0,7422175.0
Libya,SSP2_2p0,Energy-2|EV10,299490.0,104262.0
Lesotho,SSP2_2p0,Energy-2|EV10,0.0,0.0
Morocco,SSP2_2p0,Energy-2|EV10,8935392.0,2403337.0
Madagascar,SSP2_2p0,Energy-2|EV10,24902047.0,23561918.0
Mali,SSP2_2p0,Energy-2|EV10,22808396.0,22274290.0
Mozambique,SSP2_2p0,Energy-2|EV10,30275024.0,26869347.0
Mauritania,SSP2_2p0,Energy-2|EV10,2201723.0,1641557.0
Mauritius,SSP2_2p0,Energy-2|EV10,42602.0,7328.0
Malawi,SSP2_2p0,Energy-2|EV10,20314094.0,24510345.0
Namibia,SSP2_2p0,Energy-2|EV10,979634.0,793887.0
Niger,SSP2_2p0,Energy-2|EV10,24582431.0,36026467.0
Nigeria,SSP2_2p0,Energy-2|EV10,176623511.0,140516529.0
Rwanda,SSP2_2p0,Energy-2|EV10,2981027.0,2972518.0
Sudan,SSP2_2p0,Energy-2|EV10,47918010.0,33256736.0
Senegal,SSP2_2p0,Energy-2|EV10,14075518.0,9115748.0
Sierra Leone,SSP2_2p0,Energy-2|EV10,7404269.0,5646998.0
Somalia,SSP2_2p0,Energy-2|EV10,11982428.0,14426433.0
Sao Tome and Principe,SSP2_2p0,Energy-2|EV10,37786.0,2310.0
Swaziland,SSP2_2p0,Energy-2|EV10,0.0,0.0
Seychelles,SSP2_2p0,Energy-2|EV10,0.0,0.0
Chad,SSP2_2p0,Energy-2|EV10,15033988.0,14329315.0
Togo,SSP2_2p0,Energy-2|EV10,4802376.0,4253841.0
Tunisia,SSP2_2p0,Energy-2|EV10,1744691.0,471942.0
Uganda,SSP2_2p0,Energy-2|EV10,46737030.0,47460367.0
South Africa,SSP2_2p0,Energy-2|EV10,10353888.0,8547472.0
Zambia,SSP2_2p0,Energy-2|EV10,17114477.0,18088921.0
Zimbabwe,SSP2_2p0,Energy-2|EV10,12217498.0,9734283.0
