Year,Tunisia,Senegal,Namibia,Libya,Kenya,Equatorial Guinea,Algeria,Angola,Benin,Chad,Botswana,Burkina,Burundi,Cameroon,Cape Verde,Central African Republic,Comoros,Djibouti,Egypt,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Lesotho,Liberia,Malawi,Mali,Mauritania,Morocco,Mozambique,Niger,Nigeria,Rwanda,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Uganda,Western Sahara,Zambia,Zimbabwe
2021-02-28,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,0,0,0,0,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-31,0,0,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-30,1,0,0,1,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-31,0,0,0,0,0,0,1457,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,0,0,0,0,0,0,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-30,1,0,0,3,0,0,2935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,0,0,0,0,0,0,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-30,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-31,0,2,0,0,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-31,1,0,0,0,0,0,636,0,2,1,0,1,0,6,0,0,0,0,6,0,0,0,0,2,20,0,0,0,15,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-28,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-30,2,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-31,0,16,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,21,0,0,0,1,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-30,1,0,0,1,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,1,0,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,13,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,0,0,0,1,0,0,474,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-30,0,0,0,1,0,0,1199,0,11,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,30,0,0,0,10,0,640,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-10-31,1,0,0,0,0,0,1864,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0,30,0,655,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2022-11-30,0,5,0,0,0,0,216,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,2,0,220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-31,0,0,0,0,0,0,748,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,2,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,0,21,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,18,0,224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-28,2,39,0,0,0,0,144,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,12,0,2,0,11,0,254,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-31,0,8,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,28,0,0,0,7,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-30,0,0,0,0,0,0,409,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,55,0,0,0,19,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-31,2,8,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,1,0,0,1,0,0,235,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,23,0,857,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-31,2,0,0,3,0,1,814,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,1,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-31,0,0,0,0,0,0,987,0,31,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-30,0,0,0,0,0,0,126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-31,0,1,0,10,0,0,908,0,5,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,492,0,0,14,0,1,0,0,0,0,0,2,0,0,0,0
