Year,Angola,Benin,Burundi,Zimbabwe,Cameroon,Central African Republic,Chad,Comoros,Egypt,Equatorial Guinea,Eritrea,Gabon,Gambia,Ghana,Sierra Leone,Niger,Malawi,Guinea,Ethiopia,Togo,Kenya,Liberia,Libya,Mali,Mauritania,Morocco,Nigeria,Cape Verde,Senegal,Somalia,Burkina,South Africa,South Sudan,Sudan,Tanzania,Algeria,Tunisia,Uganda,Zambia
2021-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-31,1,2,0,0,91,1,1,35,0,0,2,0,66,6,17,0,0,535,0,3,0,3,0,84,2,1510,19,0,415,0,4,0,0,0,0,0,0,0,0
2022-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-31,0,0,0,0,20,1,0,51,0,0,0,0,23,5,1,0,0,128,0,0,1,1,0,72,0,223,9,0,222,0,4,0,0,0,0,0,0,0,0
2022-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-31,0,0,0,0,10,1,0,28,0,0,0,0,42,3,0,2,0,65,0,0,0,0,0,97,1,1176,0,0,107,0,5,0,0,0,0,0,0,0,0
2022-11-30,0,0,0,0,7,0,0,1,0,0,0,0,39,3,0,0,0,41,0,0,0,2,0,86,0,380,0,0,153,0,3,0,0,0,0,1,0,0,0
2022-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,0,0,0,0,13,0,0,17,0,0,0,0,21,6,0,0,0,70,0,0,0,0,0,20,0,220,0,0,146,0,0,0,0,1,0,0,0,0,0
2023-02-28,0,0,0,0,23,0,0,23,0,0,1,0,104,7,2,0,0,199,0,3,0,1,0,74,1,368,4,0,205,0,9,0,0,7,0,0,0,0,0
2023-03-31,0,0,0,0,6,0,0,0,0,0,0,0,34,0,0,0,0,56,0,0,0,0,0,18,1,108,0,0,21,0,1,0,0,0,0,0,0,0,0
2023-04-30,0,0,0,0,10,1,0,19,0,0,0,0,86,1,2,1,0,113,0,0,0,0,0,126,4,558,0,0,124,0,5,0,0,0,0,0,0,0,0
2023-05-31,0,1,0,0,7,0,0,9,0,0,3,0,75,5,1,0,0,109,1,0,0,2,0,109,1,333,3,0,257,1,2,0,0,0,0,0,0,0,0
2023-06-30,0,0,1,0,11,0,1,41,0,0,0,0,152,26,0,0,0,231,0,1,0,2,0,185,6,657,14,1,389,1,12,0,0,7,0,0,0,0,0
2023-07-31,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0,0,3,0,0,0,0,0,16,1,0,0,0,1258,0,1,0,0,0,0,0,0,0,0
2023-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,51,0,0,0,0,0,0,0,0,0,0
2023-09-30,0,0,0,0,3,0,1,25,0,0,0,0,139,2,3,1,0,102,0,0,0,0,0,405,40,478,20,0,498,0,6,0,0,0,0,0,0,0,0
2023-10-31,4,2,0,0,25,0,0,75,0,0,0,0,324,49,12,3,0,467,0,1,0,5,0,382,27,1340,23,0,1060,0,15,0,0,0,1,0,0,0,0
