Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,167,136,11,0,18,147,47
Uganda,2576,0,0,0,2576,0,0
Mali,278436,209662,4176,58471,6125,272309,87
Cape Verde,0,0,0,0,0,0,0
Djibouti,583,0,0,0,583,0,0
Malawi,18,0,0,0,18,0,0
Liberia,61887,42268,309,1175,18132,43752,120
Namibia,0,0,0,0,0,0,0
South Africa,11,0,0,0,11,0,0
Angola,924,0,0,92,831,92,0
Kenya,62,15,0,0,46,15,7
Seychelles,0,0,0,0,0,0,0
Gambia,24982,18886,149,5670,274,24705,40
Comoros,4517,1842,0,2529,144,4371,0
Morocco,1117414,23465,518480,368746,206721,910691,673
Niger,591,531,6,33,20,570,272
Burundi,107472,0,0,752,106719,752,0
Egypt,198389,188469,0,0,9919,188469,7024
Mauritius,0,0,0,0,0,0,0
Algeria,443747,51030,386503,0,6212,437533,179
Sierra Leone,571833,354536,571,5146,211578,360253,778
Nigeria,15732,9533,110,377,5710,10020,71
Mozambique,17,17,0,0,0,17,0
Central African Republic,252,205,0,6,39,211,23
Zambia,18,0,18,0,0,18,0
Tunisia,65963,65699,0,0,263,65699,67
Gabon,259,221,0,0,37,221,0
Lesotho,0,0,0,0,0,0,0
Mauritania,244,69,0,165,8,234,100
Congo,874,284,0,9,579,293,0
Botswana,0,0,0,0,0,0,0
Ghana,19233,12847,250,4000,2134,17097,80
Guinea,828960,741090,8289,62172,17408,811551,689
Madagascar,14,0,0,0,14,0,0
Togo,13879,11949,124,305,1498,12378,119
Sudan,24638,19956,0,73,4607,20029,1819
Cameroon,87791,71813,87,1580,14309,73480,351
Eritrea,23331,15958,23,23,7325,16004,2943
Senegal,205825,55572,2881,145929,1440,204382,108
Rwanda,282,0,0,0,282,0,0
Ethiopia,3407,2814,0,3,589,2817,214
Zimbabwe,831,0,0,0,831,0,0
Chad,2560,2327,0,30,202,2357,186
Somalia,14712,1588,0,14,13108,1602,80
Benin,12973,12350,531,25,64,12906,94
