Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,167.0,136.0,11.0,0.0,18.0,147.0,47.0
Uganda,2576.0,0.0,0.0,0.0,2576.0,0.0,0.0
Mali,278436.0,209662.0,4176.0,58471.0,6125.0,272309.0,87.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,583.0,0.0,0.0,0.0,583.0,0.0,0.0
Malawi,18.0,0.0,0.0,0.0,18.0,0.0,0.0
Liberia,61887.0,42268.0,309.0,1175.0,18132.0,43752.0,120.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,11.0,0.0,0.0,0.0,11.0,0.0,0.0
Angola,924.0,0.0,0.0,92.0,831.0,92.0,0.0
Kenya,62.0,15.0,0.0,0.0,46.0,15.0,7.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,24982.0,18886.0,149.0,5670.0,274.0,24705.0,40.0
Comoros,4517.0,1842.0,0.0,2529.0,144.0,4371.0,0.0
Morocco,1117414.0,23465.0,518480.0,368746.0,206721.0,910691.0,673.0
Niger,591.0,531.0,6.0,33.0,20.0,570.0,272.0
Burundi,107472.0,0.0,0.0,752.0,106719.0,752.0,0.0
Egypt,198389.0,188469.0,0.0,0.0,9919.0,188469.0,7024.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,443747.0,51030.0,386503.0,0.0,6212.0,437533.0,179.0
Sierra Leone,571833.0,354536.0,571.0,5146.0,211578.0,360253.0,778.0
Nigeria,15732.0,9533.0,110.0,377.0,5710.0,10020.0,71.0
Mozambique,17.0,17.0,0.0,0.0,0.0,17.0,0.0
Central African Republic,252.0,205.0,0.0,6.0,39.0,211.0,23.0
Zambia,18.0,0.0,18.0,0.0,0.0,18.0,0.0
Tunisia,65963.0,65699.0,0.0,0.0,263.0,65699.0,67.0
Gabon,259.0,221.0,0.0,0.0,37.0,221.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,244.0,69.0,0.0,165.0,8.0,234.0,100.0
Congo,874.0,284.0,0.0,9.0,579.0,293.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,19233.0,12847.0,250.0,4000.0,2134.0,17097.0,80.0
Guinea,828960.0,741090.0,8289.0,62172.0,17408.0,811551.0,689.0
Madagascar,14.0,0.0,0.0,0.0,14.0,0.0,0.0
Togo,13879.0,11949.0,124.0,305.0,1498.0,12378.0,119.0
Sudan,24638.0,19956.0,0.0,73.0,4607.0,20029.0,1819.0
Cameroon,87791.0,71813.0,87.0,1580.0,14309.0,73480.0,351.0
Eritrea,23331.0,15958.0,23.0,23.0,7325.0,16004.0,2943.0
Senegal,205825.0,55572.0,2881.0,145929.0,1440.0,204382.0,108.0
Rwanda,282.0,0.0,0.0,0.0,282.0,0.0,0.0
Ethiopia,3407.0,2814.0,0.0,3.0,589.0,2817.0,214.0
Zimbabwe,831.0,0.0,0.0,0.0,831.0,0.0,0.0
Chad,2560.0,2327.0,0.0,30.0,202.0,2357.0,186.0
Somalia,14712.0,1588.0,0.0,14.0,13108.0,1602.0,80.0
Benin,12973.0,12350.0,531.0,25.0,64.0,12906.0,94.0
